Categorie,Naam,Prijsklasse,Keuken,Type Concept,Sfeer,Stijl,Muziekstijl,Type Uitgaan,Adres,Openingstijden,Beoordeling
Restaurant,Ayat,goedkoop,Westers,fine-dining,druk,,,,"Straat 1, 3011 AA Rotterdam",09:00 - 22:00,3.9
Uitgaan,Corso,,,,,,techno,bar,"Straat 2, 3012 AA Rotterdam",07:00 - 20:00,3.9
Musea,Wereldmuseum,,,,,kunst,,,"Straat 3, 3013 AA Rotterdam",08:00 - 23:00,3.7
Restaurant,Little V,midden,Zuid-Amerikaans,fine-dining,druk,,,,"Straat 4, 3014 AA Rotterdam",08:00 - 23:00,4.1
Uitgaan,Club Vibes,,,,,,jazz,groot event met ticket,"Straat 5, 3015 AA Rotterdam",10:00 - 00:00,4.1
Musea,Depot Boijmans,,,,,kunst,,,"Straat 6, 3016 AA Rotterdam",08:00 - 23:00,4.9
Musea,Maritiem Museum,,,,,Architectuur,,,"Straat 7, 3017 AA Rotterdam",08:00 - 23:00,4.1
Musea,Belasting & Douane Museum,,,,,Historisch,,,"Straat 8, 3018 AA Rotterdam",09:00 - 22:00,4.5
Parken,Wilhelminapark,,,,,,,,"Straat 9, 3019 AA Rotterdam",12:00 - 02:00,4.2
Musea,Het Nieuwe Instituut,,,,,Architectuur,,,"Straat 10, 3010 AA Rotterdam",09:00 - 22:00,4.9
Parken,Wilhelminapark,,,,,,,,"Straat 11, 3011 AA Rotterdam",08:00 - 23:00,3.8
Parken,Vroesenpark,,,,,,,,"Straat 12, 3012 AA Rotterdam",10:00 - 00:00,4.3
Parken,Lage Bergse Bos,,,,,,,,"Straat 13, 3013 AA Rotterdam",07:00 - 20:00,4.3
Restaurant,Ter Marsch & Co,goedkoop,Westers,fine-dining,druk,,,,"Straat 14, 3014 AA Rotterdam",10:00 - 00:00,4.8
Restaurant,Little V,goedkoop,Italiaans,standaard concept,chique,,,,"Straat 15, 3015 AA Rotterdam",12:00 - 02:00,4.4
Parken,Kralingse Bos,,,,,,,,"Straat 16, 3016 AA Rotterdam",12:00 - 02:00,3.8
Uitgaan,Corso,,,,,,rock,bar,"Straat 17, 3017 AA Rotterdam",07:00 - 20:00,4.1
Uitgaan,Club Vibes,,,,,,Pop,bar,"Straat 18, 3018 AA Rotterdam",08:00 - 23:00,4.3
Restaurant,Restaurant Fitzgerald,goedkoop,Midden-Oosten,all-you-can-eat,chique,,,,"Straat 19, 3019 AA Rotterdam",09:00 - 22:00,4.4
Musea,Het Nieuwe Instituut,,,,,Architectuur,,,"Straat 20, 3010 AA Rotterdam",07:00 - 20:00,4.6
Restaurant,Umami by Han,goedkoop,Zuid-Amerikaans,fine-dining,chique,,,,"Straat 21, 3011 AA Rotterdam",10:00 - 00:00,4.3
Parken,Museumpark,,,,,,,,"Straat 22, 3012 AA Rotterdam",07:00 - 20:00,4.5
Restaurant,Ayat,duur,Westers,fine-dining,druk,,,,"Straat 23, 3013 AA Rotterdam",08:00 - 23:00,4.3
Uitgaan,Annabel,,,,,,techno,groot event met ticket,"Straat 24, 3014 AA Rotterdam",07:00 - 20:00,4.7
Parken,Dakpark,,,,,,,,"Straat 25, 3015 AA Rotterdam",12:00 - 02:00,3.7
Musea,Het Nieuwe Instituut,,,,,fotografie,,,"Straat 26, 3016 AA Rotterdam",07:00 - 20:00,4.3
Restaurant,Restaurant Fitzgerald,goedkoop,Midden-Oosten,standaard concept,casual,,,,"Straat 27, 3017 AA Rotterdam",08:00 - 23:00,4.3
Restaurant,Los Toros,midden,Italiaans,fine-dining,rustig,,,,"Straat 28, 3018 AA Rotterdam",12:00 - 02:00,4.2
Parken,Schiebroekse Park,,,,,,,,"Straat 29, 3019 AA Rotterdam",07:00 - 20:00,3.9
Uitgaan,Corso,,,,,,jazz,groot event met ticket,"Straat 30, 3010 AA Rotterdam",09:00 - 22:00,4.5
